Player_name,F,QF,R128,R16,R32,R64,SF
Frederico Ferreira Silva,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Frederico Gil,0.0,0.375,0.347826086957,0.315789473684,0.511111111111,0.5,0.333333333333
Fritz Wolmarans,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Gabriel Trujillo Soler,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Gael Monfils,0.259259259259,0.604395604396,0.679104477612,0.82,0.64,0.682242990654,0.490909090909
Galo Blanco,0.0,0.0,0.411764705882,0.25,0.395348837209,0.315789473684,0.0
Gastao Elias,0.0,0.285714285714,0.636363636364,0.0,0.379310344828,0.666666666667,0.0
Gaston Etlis,0.0,0.0,1.0,1.0,0.25,0.4,0.0
Gaston Gaudio,0.555555555556,0.642857142857,0.646153846154,0.821428571429,0.607476635514,0.614285714286,0.607142857143
George Bastl,0.0,0.0,0.1,0.5,0.285714285714,0.333333333333,0.0
Gerald Melzer,0.0,0.4,0.555555555556,0.0,0.380952380952,0.0,0.0
Gianluca Naso,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Gianluigi Quinzi,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Gianni Mina,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Gilles Elseneer,0.0,0.0,0.0,0.666666666667,0.461538461538,0.2,0.0
Gilles Muller,0.25,0.45652173913,0.597402597403,0.490196078431,0.543307086614,0.482142857143,0.380952380952
Gilles Simon,0.684210526316,0.517647058824,0.518292682927,0.78431372549,0.573913043478,0.72131147541,0.422222222222
Giorgio Galimberti,0.0,0.0,0.0,0.4,0.111111111111,0.6,0.0
Giovanni Lapentti,0.0,0.0,0.2,0.0,0.333333333333,1.0,0.0
Gleb Sakharov,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Glenn Weiner,0.0,0.0,0.25,0.4,0.5,0.0,0.0
Go Soeda,0.0,0.4,0.333333333333,0.2,0.348837209302,0.111111111111,0.0
Goran Ivanisevic,0.0,0.0,0.4,1.0,0.294117647059,0.1,0.0
Gorka Fraile,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Gouichi Motomura,0.0,0.0,0.0,0.0,0.166666666667,0.5,0.0
Greg Jones,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Greg Rusedski,0.875,0.652173913043,0.547619047619,0.576923076923,0.646153846154,0.511111111111,0.533333333333
Grega Zemlja,0.0,0.5,0.166666666667,0.583333333333,0.521739130435,0.384615384615,1.0
Gregory Carraz,0.0,0.75,0.333333333333,0.6,0.342857142857,0.4,0.0
Grigor Dimitrov,0.571428571429,0.596153846154,0.590909090909,0.69696969697,0.587301587302,0.732394366197,0.4375
Guido Andreozzi,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0
Guido Pella,0.333333333333,0.625,0.533333333333,0.428571428571,0.428571428571,0.263157894737,0.428571428571
Guillaume Rufin,0.0,0.0,0.75,0.615384615385,0.333333333333,0.0833333333333,0.0
Guillermo Alcaide,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Guillermo Canas,0.533333333333,0.675,0.606060606061,0.740740740741,0.609090909091,0.6,0.555555555556
Guillermo Coria,0.45,0.727272727273,0.559322033898,0.8,0.655555555556,0.76,0.791666666667
Guillermo Garcia Lopez,0.555555555556,0.366666666667,0.508620689655,0.615384615385,0.452488687783,0.390476190476,0.409090909091
Guillermo Olaso,0.0,0.0,0.0,0.0,0.25,0.5,0.0
Gustavo Kuerten,0.5,0.473684210526,0.612903225806,0.526315789474,0.711111111111,0.447368421053,0.666666666667
Gustavo Marcaccio,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0
Hao Lu,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Harel Levy,0.0,0.0,0.0,0.3,0.225806451613,0.272727272727,0.0
Henri Kontinen,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Henri Laaksonen,0.0,0.5,0.2,0.333333333333,0.454545454545,0.5,0.0
Henrik Andersson,0.0,1.0,1.0,0.0,0.666666666667,0.0,0.0
Hermes Gamonal,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Hicham Arazi,0.0,0.6,0.555555555556,0.631578947368,0.352941176471,0.411764705882,0.0
Hiroki Moriya,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Horacio Zeballos,0.666666666667,0.333333333333,0.285714285714,0.413793103448,0.493975903614,0.230769230769,0.5
Hugo Armando,0.0,0.0,0.5,0.0,0.222222222222,0.5,0.0
Hyeon Chung,0.0,0.285714285714,0.35,0.5,0.666666666667,0.529411764706,0.0
Hyung Taik Lee,0.0,0.2,0.487804878049,0.444444444444,0.455555555556,0.479166666667,0.0
Ian Flanagan,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Igor Andreev,0.4,0.4,0.459770114943,0.625,0.527607361963,0.519480519481,0.5625
Igor Kunitsyn,0.0,0.470588235294,0.444444444444,0.314285714286,0.367346938776,0.30303030303,0.125
Igor Sijsling,0.0,0.25,0.296296296296,0.285714285714,0.446428571429,0.315789473684,0.0
Ilija Bozoljac,0.0,0.0,0.5,0.8,0.181818181818,0.142857142857,0.0
Illya Marchenko,0.0,0.375,0.32,0.363636363636,0.555555555556,0.157894736842,0.0
Ilya Ivashka,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Inigo Cervantes Huegun,1.0,1.0,0.1,0.428571428571,0.454545454545,0.25,0.5
Ion Moldovan,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0
Irakli Labadze,0.0,1.0,0.0952380952381,0.391304347826,0.375,0.375,0.0
Ivan Dodig,0.5,0.363636363636,0.468085106383,0.5,0.523255813953,0.425531914894,0.25
Ivan Ljubicic,0.391304347826,0.552631578947,0.622950819672,0.604166666667,0.63687150838,0.622641509434,0.547619047619
Ivan Miranda,0.0,0.0,0.5,0.0,0.444444444444,0.666666666667,0.0
Ivan Navarro,0.0,0.6,0.263157894737,0.181818181818,0.422222222222,0.333333333333,0.0
Ivan Sergeyev,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ivo Heuberger,0.0,0.4,0.277777777778,0.230769230769,0.473684210526,0.181818181818,1.0
Ivo Karlovic,0.473684210526,0.486486486486,0.556390977444,0.514705882353,0.571428571429,0.508620689655,0.5
Ivo Klec,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Ivo Minar,0.0,0.666666666667,0.214285714286,0.428571428571,0.311111111111,0.368421052632,0.5
Izak Van Der Merwe,0.0,0.5,0.5,0.0,0.666666666667,0.0,0.0
Jack Brasington,0.0,0.0,0.0,0.222222222222,0.0,0.0,0.0
Jack Sock,0.5,0.483870967742,0.632653061224,0.642857142857,0.6,0.63829787234,0.5
Jacobo Diaz,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0
James Auckland,0.0,0.0,1.0,0.0,1.0,0.0,0.0
James Blake,0.423076923077,0.507462686567,0.622641509434,0.789473684211,0.566844919786,0.628571428571,0.742857142857
James Duckworth,0.0,0.0,0.333333333333,0.411764705882,0.352941176471,0.285714285714,0.0
James Ward,0.0,0.5,0.333333333333,0.166666666667,0.25,0.25,0.0
Jamie Baker,0.0,0.0,0.0,0.0,0.166666666667,0.4,0.0
Jamie Delgado,0.0,0.0,0.0,0.166666666667,0.0,0.333333333333,0.0
Jan Frode Andersen,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jan Hajek,0.0,0.25,0.307692307692,0.210526315789,0.288888888889,0.357142857143,0.0
Jan Hernych,0.0,0.333333333333,0.333333333333,0.483870967742,0.410256410256,0.451612903226,0.25
Jan Lennard Struff,0.0,0.454545454545,0.354838709677,0.318181818182,0.492063492063,0.375,0.0
Jan Mertl,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jan Michael Gambill,0.333333333333,0.6,0.416666666667,0.52380952381,0.514285714286,0.418604651163,0.333333333333
Jan Satral,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jan Vacek,0.0,0.0,0.153846153846,0.333333333333,0.240740740741,0.473684210526,0.0
Janko Tipsarevic,0.461538461538,0.5,0.516129032258,0.589285714286,0.503311258278,0.52380952381,0.458333333333
Jared Donaldson,0.0,0.0,0.117647058824,0.363636363636,0.515151515152,0.75,0.0
Jarkko Nieminen,0.153846153846,0.484848484848,0.458333333333,0.666666666667,0.548262548263,0.481203007519,0.40625
Jaroslav Pospisil,0.0,0.0,0.0,0.0,0.2,0.0,0.0
